"Region,Subregion,Country,Month,By_Air,By_Sea,Total_Arrivals,Previous_Year_Arrivals,Growth_Percent"
"EUROPE,Central/Eastern Europe,Russia,February,30258,37,30295,32030,-5.4"
"EUROPE,Central/Eastern Europe,Slovakia,February,1207,2,1209,1179,2.5"
"EUROPE,Central/Eastern Europe,Ukraine,February,1376,11,1387,1193,16.3"
"EUROPE,Central/Eastern Europe,Others,February,2245,8,2253,2354,-4.3"
"EUROPE,Southern/Mediterranean Europe,Greece,February,386,9,395,264,49.6"
"EUROPE,Southern/Mediterranean Europe,Italy,February,4105,10,4115,3194,28.8"
"EUROPE,Southern/Mediterranean Europe,Portugal,February,669,30,699,654,6.9"
"EUROPE,Southern/Mediterranean Europe,Spain,February,2501,27,2528,2036,24.2"
"EUROPE,Southern/Mediterranean Europe,Turkey,February,728,0,728,663,9.8"
"EUROPE,Southern/Mediterranean Europe,Israel,February,2957,2,2959,1988,48.8"
"EUROPE,Southern/Mediterranean Europe,Others,February,1676,8,1684,1401,20.2"
"MIDDLE EAST,,Bahrain,February,159,0,159,122,30.3"
"MIDDLE EAST,,Egypt,February,357,0,357,396,-9.8"
"MIDDLE EAST,,Iraq,February,131,0,131,54,142.6"
"MIDDLE EAST,,Jordan,February,178,0,178,180,-1.1"
"MIDDLE EAST,,Kuwait,February,172,2,174,231,-24.7"
"MIDDLE EAST,,Lebanon,February,145,0,145,155,-6.5"
"MIDDLE EAST,,Oman,February,156,0,156,236,-33.9"
"MIDDLE EAST,,Qatar,February,33,0,33,41,-19.5"
"MIDDLE EAST,,Saudi Arabia,February,487,0,487,511,-4.7"
"MIDDLE EAST,,United Arab Emirates,February,191,0,191,219,-12.8"
"MIDDLE EAST,,Others,February,78,0,78,58,34.5"
"AMERICAS,North America,Canada,March,3892,327,4219,4034,4.6"
"AMERICAS,North America,Mexico,March,113,22,135,111,21.6"
"AMERICAS,North America,United States,March,5492,2184,7676,7617,0.8"
"AMERICAS,Caribbean & Central America,Costa Rica,March,15,0,15,11,36.4"
"AMERICAS,Caribbean & Central America,Jamaica,March,0,2,2,18,-88.9"
